season,firstName,lastName,position,origin,destination,transferDate,rating,stars,eligibility
2023,Joshua,Farmer,DL,Florida State,,2023-04-27T17:23:00.000Z,,3,Immediate
2023,A'Jon,Vivens,RB,Colorado State,,2022-10-31T21:23:00.000Z,,3,Immediate
2023,Taj,Davis,WR,Washington,,2023-05-02T23:23:00.000Z,,3,Immediate
2023,T.J.,Finley,QB,Auburn,,2023-05-02T22:22:00.000Z,,3,Immediate
2023,Aaron,Dumas,RB,Washington,,2023-05-02T18:56:00.000Z,,3,Immediate
2023,Siaosi,Finau,DL,Washington,,2023-05-02T18:56:00.000Z,,3,Immediate
2023,Pierre,Goree,LB,SMU,,2023-05-02T15:23:00.000Z,,3,Immediate
2023,Jaxon,Sawyer,RB,Washington State,,2023-05-02T15:23:00.000Z,,,Immediate
2023,Bailey,Rice,P,Charlotte,,2023-05-02T15:01:00.000Z,,,Immediate
2023,Payton,Thorne,QB,Michigan State,,2023-04-30T14:44:00.000Z,,3,Immediate
2023,Keon,Coleman,WR,Michigan State,,2023-04-30T14:43:00.000Z,,4,Immediate
2023,Rhett,Larson,OT,SMU,Sam Houston State,2023-04-22T20:15:00.000Z,,3,Immediate
2023,Tyreke,Johnson,CB,Nebraska,,2022-12-01T06:00:00.000Z,,5,Immediate
2023,Michael,Lynn,IOL,Nebraska,,2022-12-01T06:00:00.000Z,,3,Immediate
2023,Trey,Amos,CB,Louisiana,,2023-05-02T01:06:00.000Z,,3,Immediate
2023,Matthew,Weerts,LB,Arizona,,2023-05-01T20:03:00.000Z,,3,Immediate
2023,Naran,Buntin,WR,Kent State,,2023-05-01T19:04:00.000Z,,2,Immediate
2023,Javon,Nelson,DL,Memphis,,2023-05-01T18:55:00.000Z,,3,Immediate
2023,Micah,Wing,LB,Rutgers,,2023-05-01T18:34:00.000Z,,3,Immediate
2023,Travis,Geiger,DL,Coastal Carolina,,2022-11-17T16:28:00.000Z,,3,Immediate
2023,Jordan,Lolohea,EDGE,Washington,,2022-08-23T16:47:00.000Z,,3,Immediate
2023,Benjamin,Perry,S,Louisville,,2022-12-07T23:38:00.000Z,,4,Immediate
2023,Cole,Young,OT,Oregon,,2023-05-01T16:39:00.000Z,,2,Immediate
2023,Vae,Soifua,IOL,BYU,,2023-05-01T16:30:00.000Z,,3,Immediate
2023,Kamari,Stephens,DL,Florida A&M,,2023-05-01T16:06:00.000Z,,,Immediate
2023,Deondre,Buford,OT,Kentucky,,2023-05-01T16:02:00.000Z,,3,Immediate
2023,Keveionta,Spears,DL,Louisiana Tech,,2023-05-01T15:55:00.000Z,,3,Immediate
2023,Nigel,Lanier,WR,Tennessee,Grambling,2023-05-01T15:27:00.000Z,,,Immediate
2023,Cameron,Miller,S,Tennessee,,2023-05-01T15:24:00.000Z,,4,Immediate
2023,Gavin,Forsha,LB,Kansas State,,2023-05-01T14:46:00.000Z,,,Immediate
2023,Joriell,Washington,S,Louisiana Tech,,2023-05-01T14:42:00.000Z,,3,Immediate
2023,Omar,Daniels,CB,Kansas State,,2023-05-01T14:34:00.000Z,,3,Immediate
2023,Sam,Vander Haar,P,Pittsburgh,,2023-05-01T13:48:00.000Z,,3,Immediate
2023,Travis,Jay,S,Florida State,,2023-05-01T13:37:00.000Z,,4,Immediate
2023,Dink,Jackson,S,Marshall,,2023-05-01T13:35:00.000Z,,4,Immediate
2023,Justin,Brown,WR,Mississippi State,,2023-05-01T13:33:00.000Z,,3,Immediate
2023,Collin,Sullivan,WR,Purdue,,2023-05-01T12:29:00.000Z,,3,Immediate
2023,Jarnorris,Hopson,WR,Mississippi State,,2023-04-30T15:46:00.000Z,,3,Immediate
2023,Luis,Chavarria,IOL,Prairie View,,2023-04-29T17:07:00.000Z,,3,Immediate
2023,Bishop,Thomas,DL,Florida State,,2023-04-28T12:24:00.000Z,,3,Immediate
2023,Phaizon,Wilson,WR,Grambling,,2023-04-25T12:38:00.000Z,,4,Immediate
2023,Davion,Hood,EDGE,East Tennessee State,,2023-04-20T18:16:00.000Z,,,Immediate
2023,Amil,Savage,OT,Fresno State,,2023-04-19T05:00:00.000Z,,,Immediate
2023,John,Sniffen,DL,Fresno State,,2023-04-19T05:00:00.000Z,,,Immediate
2023,Jacob,Borcila,K,Kansas,,2023-04-18T13:33:00.000Z,,2,Immediate
2023,Joseph,Church,OT,Fresno State,,2023-04-18T05:00:00.000Z,,3,Immediate
2023,Mikey,Keene,QB,UCF,Fresno State,2022-12-04T23:39:00.000Z,0.89,3,Immediate
2023,Kainoa,Sayre,RB,Air Force,,2022-08-26T05:00:00.000Z,,,Immediate
2023,Kaleb,Brown,WR,Ohio State,,2023-05-01T02:16:00.000Z,,4,Immediate
2023,Ajay,Allen,RB,Nebraska,,2023-05-01T02:16:00.000Z,,3,Immediate
2023,Levani,Damuni,LB,Stanford,Utah,2022-12-02T20:06:00.000Z,0.9,4,Immediate
2023,Kody,Epps,WR,BYU,,2023-05-01T02:15:00.000Z,,3,Immediate
2023,Cam,Johnson,CB,Virginia Tech,,2023-04-30T22:53:00.000Z,,4,Immediate
2023,Chris,Irvin,QB,Washington State,,2022-08-26T20:32:00.000Z,,,Immediate
2023,Charles,Brantley,CB,Michigan State,,2023-04-30T22:49:00.000Z,,3,Immediate
2023,Joshua,Braun,OT,Florida,Arkansas,2022-11-11T15:50:00.000Z,0.88,3,Immediate
2023,David,Wohlabaugh,IOL,Kentucky,,2023-04-30T21:30:00.000Z,,3,Immediate
2023,Cullen,Montgomery,OT,Oklahoma,,2023-04-30T21:29:00.000Z,,3,Immediate
2023,Milton,Wright,WR,Purdue,,2023-04-30T21:02:00.000Z,,4,Immediate
2023,Jalil,Martin,S,Nebraska,,2023-04-30T19:31:00.000Z,,3,Immediate
2023,Romello,Watson,IOL,Grambling,Tennessee State,2022-11-09T19:17:00.000Z,,,Immediate
2023,Jaquayln,Crawford,WR,Arkansas,,2022-08-20T16:31:00.000Z,,4,Immediate
2023,Jaylen,Garth,OT,Texas,Houston,2022-08-23T17:26:00.000Z,0.86,3,Immediate
2023,Grant,DuBose,WR,Charlotte,Charlotte,2022-11-22T18:03:00.000Z,0.89,3,Immediate
2023,Tre,Horner,WR,Washington State,,2023-04-30T18:24:00.000Z,,,Immediate
2023,Derek,Spearman,S,Connecticut,,2023-04-30T17:30:00.000Z,,3,Immediate
2023,Colby,Smith,OT,Auburn,,2023-04-30T16:24:00.000Z,,3,Immediate
2023,Landen,King,TE,Auburn,,2023-04-30T16:24:00.000Z,,3,Immediate
2023,Kamell,Smith,QB,Miami (OH),,2023-04-30T15:55:00.000Z,,3,Immediate
2023,Brent,Jackson,S,Bucknell,,2022-11-21T14:46:00.000Z,,2,Immediate
2023,Antwan,Massie,CB,UAB,,2022-08-24T18:56:00.000Z,,3,Immediate
2023,Gage,Haskin,TE,SMU,,2023-01-11T16:15:00.000Z,,,Immediate
2023,Paris,Shand,DL,Arizona,LSU,2022-12-05T04:35:00.000Z,0.92,4,Immediate
2023,Jordan,Buchanan,CB,Purdue,,2023-04-30T15:01:00.000Z,,3,Immediate
2023,Jalen,Klemm,OT,Kansas State,,2023-04-28T21:18:00.000Z,,3,Immediate
2023,Sir,Mells,DL,Oregon,,2023-04-28T21:09:00.000Z,,3,Immediate
2023,Chance,Nolan,QB,Oregon State,TCU,2022-12-01T22:08:00.000Z,0.85,3,Immediate
2023,Graham,Mertz,QB,Wisconsin,Florida,2022-12-04T23:32:00.000Z,0.9,4,Immediate
2023,Tyden,Ferris,IOL,Central Michigan,Georgia State,2022-12-01T14:46:00.000Z,,2,Immediate
2023,Shabazz,Dotson,DL,SMU,,2022-08-29T20:49:00.000Z,,3,Immediate
2023,Ches,Jackson,OT,Colorado State,Ohio,2022-11-02T16:24:00.000Z,,3,Immediate
2023,Josh,Witt,IOL,Northern State,Indiana,2022-11-15T19:44:00.000Z,,,Immediate
2023,Brandon,Calloway,CB,Purdue,,2023-04-30T14:48:00.000Z,,3,Immediate
2023,Tristan,Cox,LB,Purdue,,2023-04-30T14:34:00.000Z,,3,Immediate
2023,Terrance,Copper Jr.,WR,East Carolina,,2023-04-30T14:33:00.000Z,,,Immediate
2023,Julien,Simon,LB,USC,Tulsa,2022-12-05T02:36:00.000Z,,4,Immediate
2023,B.J.,Davis,LB,South Carolina State,East Carolina,2022-12-01T17:16:00.000Z,0.89,3,Immediate
2023,Michael,Furtney,OT,Wisconsin,,2022-12-05T21:34:00.000Z,,3,Immediate
2023,Jouvensly,Bazil,RB,Washington State,,2022-11-28T17:17:00.000Z,,3,Immediate
2023,Keith,Jones,CB,Western Michigan,,2023-04-30T14:32:00.000Z,,3,Immediate
2023,Hunter,Deyo,DL,Iowa State,,2023-04-30T14:32:00.000Z,,4,Immediate
2023,Israel,Whitmore,LB,Arkansas State,,2023-04-28T21:09:00.000Z,,3,Immediate
2023,Alonzo,Ford,DL,Old Dominion,,2023-04-28T20:52:00.000Z,,3,Immediate
2023,Nate,McCollum,WR,Georgia Tech,North Carolina,2022-12-09T19:19:00.000Z,0.89,3,Immediate
2023,Da'Quan,Felton,WR,Norfolk State,Virginia Tech,2022-11-21T09:28:00.000Z,0.89,3,Immediate
2023,Elijah,Spencer,WR,Charlotte,Minnesota,2022-12-04T20:14:00.000Z,0.9,4,Immediate
2023,Luther,Richesson,QB,Cincinnati,,2022-08-18T01:14:00.000Z,,3,Immediate
2023,Zy,Alexander,CB,Southeastern Louisiana,LSU,2022-12-01T15:38:00.000Z,0.93,4,Immediate
2023,Vincent,Lumia,OT,Duquesne,Louisville,2023-04-01T20:46:00.000Z,0.86,3,Immediate
2023,Caleb,Medford,WR,TCU,New Mexico,2022-12-08T15:26:00.000Z,,3,Immediate
2023,Errington,McRae,TE,Memphis,,2023-04-25T19:06:00.000Z,,3,Immediate
2023,Mister,Williams,LB,Colorado,,2023-04-25T19:00:00.000Z,,3,Immediate
2023,Jalen,Sami,DL,Colorado,,2023-04-25T19:00:00.000Z,,2,Immediate
2023,Bobby,Taylor,CB,Texas A&M,,2023-04-19T15:17:00.000Z,0.87,3,Immediate
2023,Mumu,Bin-Wahad,CB,West Virginia,Connecticut,2022-11-14T19:41:00.000Z,,3,Immediate
2023,Marshawn,Kneeland,EDGE,Western Michigan,Colorado,2022-12-02T23:13:00.000Z,0.87,3,Immediate
2023,Kaleb,Peleki,DL,Missouri State,San José State,2023-04-19T05:00:00.000Z,,,Immediate
