season,firstName,lastName,position,origin,destination,transferDate,rating,stars,eligibility
2023,William,Hardrick,CB,Mississippi State,,2023-02-21T21:52:00.000Z,,2,Immediate
2023,Keyshawn,Paul,CB,Temple,,2023-02-17T02:43:00.000Z,,2,Immediate
2023,Rian,Fields,LB,Fresno State,,2023-01-07T06:00:00.000Z,,1,Immediate
2023,Jaden,Dottin,WR,Penn State,,2023-01-19T03:06:00.000Z,,4,Immediate
2023,Reed,Shumpert,WR,Washington State,Cal Poly,2023-01-18T03:15:00.000Z,,,Immediate
2023,Derrick,Bean,S,Arkansas State,,2022-12-07T00:59:00.000Z,,2,Immediate
2023,Benjamin,Perry,S,Louisville,,2022-12-07T23:38:00.000Z,,4,Immediate
2023,Chase,Carter,EDGE,Michigan State,Incarnate Word,2023-01-11T20:03:00.000Z,,3,Immediate
2023,Omarion,Hammond,DL,Georgia State,,2022-12-06T21:37:00.000Z,,3,Immediate
2023,Jaylin,Lane,WR,Middle Tennessee,Virginia Tech,2023-01-06T20:42:00.000Z,0.88,3,Immediate
2023,Quaterrius,Tolbert,WR,Middle Tennessee,,2023-01-06T20:41:00.000Z,,3,Immediate
2023,Kaylin,Moore,ATH,Colorado,California,2022-12-08T21:05:00.000Z,0.87,3,Immediate
2023,Sam,Hartman,QB,Wake Forest,Notre Dame,2022-12-27T06:00:00.000Z,0.94,4,Immediate
2023,Ugonna,Nnanna,OT,Houston,Virginia,2022-12-26T16:45:00.000Z,0.85,3,Immediate
2023,Theron,Stroops,CB,Houston,,2023-01-02T23:24:00.000Z,,3,Immediate
2023,Carson,Walker,IOL,Houston,,2022-12-05T21:30:00.000Z,,3,Immediate
2023,Mason,Cobb,LB,Oklahoma State,USC,2022-12-05T16:15:00.000Z,0.91,4,Immediate
2023,Jonathan,Flowe,S,Oregon,,2022-12-12T19:09:00.000Z,,4,Immediate
2023,Daniel,Richardson,QB,Central Michigan,Florida Atlantic,2022-12-05T21:39:00.000Z,,3,Immediate
2023,Paul,Maile,IOL,Utah,BYU,2023-01-05T22:43:00.000Z,0.88,3,Immediate
2023,Holman,Edwards,QB,Houston,Southern Mississippi,2022-12-04T21:53:00.000Z,,,Immediate
2023,Tristan,Shorter,LB,Arkansas State,,2022-12-07T00:59:00.000Z,,3,Immediate
2023,Trevor,Radosevich,IOL,Pennsylvania,Cincinnati,2022-11-21T16:29:00.000Z,,,Immediate
2023,Omar,Sims,DL,Louisiana Tech,,2022-12-05T15:47:00.000Z,,,Immediate
2023,James,Bohls,RB,Arizona,,2022-12-26T03:30:00.000Z,,3,Immediate
2023,Xavion,Alford,S,USC,Arizona State,2022-12-05T20:14:00.000Z,0.89,3,Immediate
2023,Michael,Furtney,OT,Wisconsin,,2022-12-05T21:34:00.000Z,,3,Immediate
2023,Kyron,Drones,QB,Baylor,Virginia Tech,2022-12-05T15:47:00.000Z,0.9,4,Immediate
2023,Brian,Darby,WR,Oklahoma,,2022-12-05T20:04:00.000Z,,3,Immediate
2023,Khari,Johnson,CB,Arkansas,Boston College,2022-12-05T15:47:00.000Z,0.87,3,Immediate
2023,Nathan,Carter,RB,Connecticut,Michigan State,2022-12-17T18:13:00.000Z,0.87,3,Immediate
2023,Monty,Montgomery,LB,Louisville,Ole Miss,2023-01-16T18:17:00.000Z,0.91,4,Immediate
2023,Luke,Elzinga,P,Central Michigan,Oklahoma,2022-12-05T15:46:00.000Z,0.79,2,Immediate
2023,Marshawn,Kneeland,EDGE,Western Michigan,Colorado,2022-12-02T23:13:00.000Z,0.87,3,Immediate
2023,Samuel,Williams,EDGE,Pittsburgh,,2022-12-05T15:44:00.000Z,,3,Immediate
2023,Seth,Jones,WR,Baylor,South Florida,2022-12-05T15:28:00.000Z,,3,Immediate
2023,Donovan,Ollie,WR,Washington State,Cincinnati,2022-12-05T15:27:00.000Z,0.87,3,Immediate
2023,Lucien,Brunetti,WR,Tennessee,,2023-01-05T17:34:00.000Z,,3,Immediate
2023,Ovie,Oghoufo,EDGE,Texas,LSU,2023-01-05T17:31:00.000Z,0.89,3,Immediate
2023,Victor,Curne,IOL,Washington,Ole Miss,2023-01-04T15:53:00.000Z,,3,Immediate
2023,Isaiah,Lewis,CB,Colorado,,2022-11-30T16:21:00.000Z,,4,Immediate
2023,Taj,Harris,WR,Rutgers,,2022-12-05T16:19:00.000Z,,3,Immediate
2023,Khamauri,Rogers,CB,Miami,Mississippi State,2022-12-13T22:11:00.000Z,0.89,3,Immediate
2023,Jalen,Catalon,S,Arkansas,Texas,2022-12-16T22:06:00.000Z,0.9,4,Immediate
2023,Alex,Padilla,QB,Iowa,SMU,2022-11-29T16:39:00.000Z,0.85,3,Immediate
2023,Omar,Speights,LB,Oregon State,LSU,2023-01-13T00:04:00.000Z,0.9,4,Immediate
2023,Spencer,Holstege,IOL,Purdue,UCLA,2022-12-05T16:51:00.000Z,0.88,3,Immediate
2023,Andrew,Volmar,CB,Florida International,Louisiana Monroe,2022-12-05T21:22:00.000Z,,3,Immediate
2023,Francisco,Mauigoa,LB,Washington State,Miami,2022-12-07T15:53:00.000Z,0.92,4,Immediate
2023,Cameron,Gillentine,QB,Ball State,,2022-12-01T14:42:00.000Z,,,Immediate
2023,Jason,Maitre,S,Boston College,Wisconsin,2022-12-02T15:30:00.000Z,0.87,3,Immediate
2023,Mikhari,Sibblis,DL,Lehigh,Ball State,2022-11-28T22:23:00.000Z,,,Immediate
2023,Xavier,Williams,WR,Utah State,,2022-12-09T18:20:00.000Z,,4,Immediate
2023,David,Reese,LB,Florida,California,2022-12-07T14:16:00.000Z,0.85,3,Immediate
2023,Michael,Alaimo,QB,Purdue,,2023-01-10T16:03:00.000Z,,4,Immediate
2023,Ethan,Miner,IOL,Arkansas State,North Texas,2023-01-10T15:48:00.000Z,,2,Immediate
2023,Caden,Prieskorn,TE,Memphis,Ole Miss,2022-12-29T18:24:00.000Z,0.9,4,Immediate
2023,Reid,Dedman,LB,Georgia Southern,,2023-01-09T06:00:00.000Z,,,Immediate
2023,Haynes,King,QB,Texas A&M,Georgia Tech,2022-12-02T21:21:00.000Z,0.85,3,Immediate
2023,Nay'Quan,Wright,RB,Florida,South Florida,2022-12-05T14:23:00.000Z,,4,Immediate
2023,Dylan,Flowers,CB,Southern Utah,BYU,2022-12-23T00:11:00.000Z,,3,Immediate
2023,Austin,Keys,LB,Ole Miss,Auburn,2023-01-06T19:33:00.000Z,0.88,3,Immediate
2023,Grayson,McCall,QB,Coastal Carolina,,2022-12-12T19:48:00.000Z,0.94,4,Immediate
2023,Davion,Woolen,WR,Oklahoma,,2022-12-06T19:22:00.000Z,,,Immediate
2023,Daquan,Evans,CB,South Florida,,2022-11-29T20:14:00.000Z,,3,Immediate
2023,KJ,Cloyd,LB,Louisville,Louisville,2022-12-02T04:11:00.000Z,,3,Immediate
2023,Tate,Hallock,ATH,Michigan State,Western Michigan,2023-01-02T18:17:00.000Z,,3,Immediate
2023,Nathaniel,Beal III,WR,Virginia,,2022-12-09T06:00:00.000Z,,3,TBD
2023,Dan,Foster,LB,Marshall,Texas State,2022-12-22T22:34:00.000Z,,3,Immediate
2023,Dean,Clark,S,Kent State,Fresno State,2022-12-16T22:49:00.000Z,,3,Immediate
2023,Jaquez,Pennimon,S,Georgia State,,2022-12-12T21:19:00.000Z,,3,Immediate
2023,Dario,Longhetto,K,California,Arizona State,2022-11-29T16:39:00.000Z,,,Immediate
2023,Juwan,Mitchell,LB,Tennessee,,2023-01-09T20:14:00.000Z,,3,Immediate
2023,Demorie,Tate,CB,Florida State,,2022-12-19T20:01:00.000Z,,4,Immediate
2023,Ja'Khi,Green,OT,Maryland,,2022-12-05T15:06:00.000Z,,3,Immediate
2023,Jackson,Paradis,RB,Buffalo,UMass,2023-01-09T17:40:00.000Z,,3,Immediate
2023,Trey,Lowe III,QB,Southern Mississippi,Liberty,2022-12-21T20:44:00.000Z,,3,Immediate
2023,RJ,Adams,IOL,Georgia Tech,Lackawanna College,2023-01-25T20:02:00.000Z,,3,Immediate
2023,Vincent,Davis,RB,Pittsburgh,UNLV,2023-01-11T15:23:00.000Z,,3,Immediate
2023,Ron,Hardge III,CB,Oregon State,Colorado State,2022-10-31T19:54:00.000Z,,3,Immediate
2023,Kaleb,Ford-Dement,CB,Washington State,Texas State,2022-10-27T15:53:00.000Z,,2,Immediate
2023,Zykeivous,Walker,DL,Auburn,Auburn,2022-12-07T14:36:00.000Z,,4,Immediate
2023,Marcus,Dumervil,OT,LSU,Maryland,2022-12-13T21:47:00.000Z,0.87,3,Immediate
2023,Bralon,Brown,WR,Ole Miss,,2022-12-13T21:12:00.000Z,,4,Immediate
2023,Daniel,Martin,LB,Vanderbilt,,2022-09-02T17:42:00.000Z,,4,Immediate
2023,Shadeed,Ahmed,WR,Marshall,Texas State,2023-01-14T20:14:00.000Z,,2,Immediate
2023,Adin,Huntington,DL,Kent State,,2022-12-05T14:21:00.000Z,,3,Immediate
